Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB.PP2.D.EAM.Machine.ProcessParameterSet.HighThroughputProcessParameter;WecVariationTolerance;120966;I4;EquipmentConstant;nm;Tolerance between current WEC value and the previous stored value.;False
GeminiFB.PP2.D.EAM;ModuleEnableDelay;120993;I4;EquipmentConstant;ms;Delay after module enable is turned on.;False
GeminiFB.PP2.D.EAM;PictureRootPath;120995;ASCII;EquipmentConstant;;Automatic taken camera pictures during process are saved here.;False
GeminiFB.PP2.D.EAM.Processes.Bond Chuck Change Process;StartRecorderAutomatically;120996;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Bond Chuck Change Process;UseLoadingTray;120997;Boolean;EquipmentConstant;;Use loading tray for loading and unloading the bond chuck.;False
GeminiFB.PP2.D.EAM.Processes.Bottom Wafer Transfer Process;StartRecorderAutomatically;120998;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.CalibrateOpticProcess;StartRecorderAutomatically;120999;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Cleanup;StartRecorderAutomatically;121002;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.DetectMaterial;StartRecorderAutomatically;121003;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.DoubleStackFB;StartRecorderAutomatically;121004;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Home Process;StartRecorderAutomatically;121005;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.IdleProcess;StartRecorderAutomatically;121006;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Initialize;StartRecorderAutomatically;121007;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Objective Change Process;StartRecorderAutomatically;121008;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Setup;StartRecorderAutomatically;121009;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Top Chuck Change Process;StartRecorderAutomatically;121010;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Top Loading Pins Change Process;StartRecorderAutomatically;121011;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.Top Wafer Transfer Process;StartRecorderAutomatically;121012;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.TransferBottomToTopProcess;StartRecorderAutomatically;121013;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.TransferTopToBottomProcess;StartRecorderAutomatically;121014;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.WecRepeatabilityTest;StartRecorderAutomatically;121015;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM;SavePictureFileFormat;121016;ASCII;EquipmentConstant;;The file format for the automatic saved pictures during process. PNG is loss less and has compression.;False
GeminiFB.PP2.D.EAM.Machine.Bottom Stage.Bottom Table.BondVerifier.AnalogInput - BondVerificationSensorA;Mapping;121017;ASCII;EquipmentConstant;;Specifies the underlying I/O object.;False
GeminiFB.PP2.D.EAM.Machine.Bottom Stage.Bottom Table.BondVerifier.AnalogInput - BondVerificationSensorB;Mapping;121018;ASCII;EquipmentConstant;;Specifies the underlying I/O object.;False
GeminiFB.PP2.D.EAM.Machine.Bottom Stage.Bottom Table.BondVerifier;BondVerificationSensorA;121019;F8;StatusVariable;;Value of the bond verification sensor A.;not applicable
GeminiFB.PP2.D.EAM.Machine.Bottom Stage.Bottom Table.BondVerifier;BondVerificationSensorB;121020;F8;StatusVariable;;Value of the bond verification sensor B.;not applicable
GeminiFB.PP2.D.EAM.Processes.CalibrateWecFeedbackSensorProcess;CalibrationStartPositionZ0;121023;F8;EquipmentConstant;nm;Calibration Start position Z0 of the Bottom Table axis value. The contact movement is started from here.;False
GeminiFB.PP2.D.EAM.Processes.CalibrateWecFeedbackSensorProcess;CalibrationStartPositionZ1;121024;F8;EquipmentConstant;nm;Calibration Start position of the Bottom Table Z1 axis value. The contact movement is started from here.;False
GeminiFB.PP2.D.EAM.Processes.CalibrateWecFeedbackSensorProcess;CalibrationStartPositionZ2;121025;F8;EquipmentConstant;nm;Calibration Start position Z2 of the Bottom Table axis value. The contact movement is started from here.;False
GeminiFB.PP2.D.EAM.Processes.CalibrateWecFeedbackSensorProcess;StartRecorderAutomatically;121026;Boolean;EquipmentConstant;;Starts the recorder automatically for each control job.;False
GeminiFB.PP2.D.EAM.Processes.CalibrateWecFeedbackSensorProcess;TransferSubstrate;121027;Boolean;EquipmentConstant;;Transfer substrate from bottomside to topside to reset gauges.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0607;MaximumTemperature;121028;F4;EquipmentConstant;°C;Specifies the maximum allowed temperature.;False
