Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.15;HandlingTypes;5000070;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;DisplayName;5000071;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;HandlingTypes;5000072;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;DisplayName;5000073;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;HandlingTypes;5000074;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;DisplayName;5000075;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;HandlingTypes;5000076;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;DisplayName;5000077;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;HandlingTypes;5000078;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;DisplayName;5000079;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;HandlingTypes;5000080;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;DisplayName;5000081;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;HandlingTypes;5000082;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;DisplayName;5000083;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;HandlingTypes;5000084;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;DisplayName;5000085;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;HandlingTypes;5000086;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;DisplayName;5000087;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;HandlingTypes;5000088;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;DisplayName;5000089;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;HandlingTypes;5000090;List;EquipmentConstant;;The handling types supported by the material location.;False
GeminiFB.EFEM.LP2.Stream - Connection;DisplayName;5000091;ASCII;EquipmentConstant;;Specifies the text which is used instead of the internal name when the element's name is somewhere displayed.;False
GeminiFB.EFEM.LP2;SupportedCarrierSpecifications;5000092;List;EquipmentConstant;;Select supported carrier specifications.;False
GeminiFB.EFEM.LP2;Encoding;5000093;U1;StatusVariable;;Definies the current encoding of the loadport;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.01;AcquiredID;5000094;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.01;AcquiredIDs;5000095;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.01;AcquiredProcessDurableIDs;5000096;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.01;ProcessDurableIDs;5000097;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.01;ProcessDurableLocState;5000098;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.01;SubstIDs;5000099;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.02;AcquiredID;5000100;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.02;AcquiredIDs;5000101;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.02;AcquiredProcessDurableIDs;5000102;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.02;ProcessDurableIDs;5000103;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.02;ProcessDurableLocState;5000104;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.02;SubstIDs;5000105;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.03;AcquiredID;5000106;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.03;AcquiredIDs;5000107;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.03;AcquiredProcessDurableIDs;5000108;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.03;ProcessDurableIDs;5000109;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.03;ProcessDurableLocState;5000110;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.03;SubstIDs;5000111;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.04;AcquiredID;5000112;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.04;AcquiredIDs;5000113;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.04;AcquiredProcessDurableIDs;5000114;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.04;ProcessDurableIDs;5000115;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.04;ProcessDurableLocState;5000116;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.04;SubstIDs;5000117;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.05;AcquiredID;5000118;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.05;AcquiredIDs;5000119;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.05;AcquiredProcessDurableIDs;5000120;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.05;ProcessDurableIDs;5000121;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.05;ProcessDurableLocState;5000122;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.05;SubstIDs;5000123;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.06;AcquiredID;5000124;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.06;AcquiredIDs;5000125;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.06;AcquiredProcessDurableIDs;5000126;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.06;ProcessDurableIDs;5000127;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.06;ProcessDurableLocState;5000128;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.06;SubstIDs;5000129;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.07;AcquiredID;5000130;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.07;AcquiredIDs;5000131;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.07;AcquiredProcessDurableIDs;5000132;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.07;ProcessDurableIDs;5000133;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.07;ProcessDurableLocState;5000134;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.07;SubstIDs;5000135;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.08;AcquiredID;5000136;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.08;AcquiredIDs;5000137;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.08;AcquiredProcessDurableIDs;5000138;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.08;ProcessDurableIDs;5000139;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.08;ProcessDurableLocState;5000140;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.08;SubstIDs;5000141;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.09;AcquiredID;5000142;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.09;AcquiredIDs;5000143;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.09;AcquiredProcessDurableIDs;5000144;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.09;ProcessDurableIDs;5000145;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.09;ProcessDurableLocState;5000146;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.09;SubstIDs;5000147;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.10;AcquiredID;5000148;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.10;AcquiredIDs;5000149;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.10;AcquiredProcessDurableIDs;5000150;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.10;ProcessDurableIDs;5000151;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.10;ProcessDurableLocState;5000152;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.10;SubstIDs;5000153;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.11;AcquiredID;5000154;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.11;AcquiredIDs;5000155;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.11;AcquiredProcessDurableIDs;5000156;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.11;ProcessDurableIDs;5000157;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.11;ProcessDurableLocState;5000158;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.11;SubstIDs;5000159;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.12;AcquiredID;5000160;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.12;AcquiredIDs;5000161;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.12;AcquiredProcessDurableIDs;5000162;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.12;ProcessDurableIDs;5000163;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.12;ProcessDurableLocState;5000164;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.12;SubstIDs;5000165;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.13;AcquiredID;5000166;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.13;AcquiredIDs;5000167;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.13;AcquiredProcessDurableIDs;5000168;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.13;ProcessDurableIDs;5000169;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.13;ProcessDurableLocState;5000170;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.13;SubstIDs;5000171;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.14;AcquiredID;5000172;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.14;AcquiredIDs;5000173;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.14;AcquiredProcessDurableIDs;5000174;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.14;ProcessDurableIDs;5000175;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.14;ProcessDurableLocState;5000176;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.14;SubstIDs;5000177;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.15;AcquiredID;5000178;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.15;AcquiredIDs;5000179;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.15;AcquiredProcessDurableIDs;5000180;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.15;ProcessDurableIDs;5000181;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.15;ProcessDurableLocState;5000182;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.15;SubstIDs;5000183;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;AcquiredID;5000184;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;AcquiredIDs;5000185;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;AcquiredProcessDurableIDs;5000186;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;ProcessDurableIDs;5000187;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;ProcessDurableLocState;5000188;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.16;SubstIDs;5000189;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;AcquiredID;5000190;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;AcquiredIDs;5000191;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;AcquiredProcessDurableIDs;5000192;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;ProcessDurableIDs;5000193;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;ProcessDurableLocState;5000194;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.17;SubstIDs;5000195;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;AcquiredID;5000196;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;AcquiredIDs;5000197;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;AcquiredProcessDurableIDs;5000198;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;ProcessDurableIDs;5000199;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;ProcessDurableLocState;5000200;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.18;SubstIDs;5000201;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;AcquiredID;5000202;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;AcquiredIDs;5000203;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;AcquiredProcessDurableIDs;5000204;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;ProcessDurableIDs;5000205;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;ProcessDurableLocState;5000206;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.19;SubstIDs;5000207;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;AcquiredID;5000208;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;AcquiredIDs;5000209;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;AcquiredProcessDurableIDs;5000210;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;ProcessDurableIDs;5000211;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;ProcessDurableLocState;5000212;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.20;SubstIDs;5000213;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;AcquiredID;5000214;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;AcquiredIDs;5000215;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;AcquiredProcessDurableIDs;5000216;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;ProcessDurableIDs;5000217;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;ProcessDurableLocState;5000218;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.21;SubstIDs;5000219;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;AcquiredID;5000220;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;AcquiredIDs;5000221;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;AcquiredProcessDurableIDs;5000222;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;ProcessDurableIDs;5000223;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;ProcessDurableLocState;5000224;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.22;SubstIDs;5000225;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;AcquiredID;5000226;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;AcquiredIDs;5000227;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;AcquiredProcessDurableIDs;5000228;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;ProcessDurableIDs;5000229;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;ProcessDurableLocState;5000230;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.23;SubstIDs;5000231;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;AcquiredID;5000232;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;AcquiredIDs;5000233;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;AcquiredProcessDurableIDs;5000234;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;ProcessDurableIDs;5000235;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;ProcessDurableLocState;5000236;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.24;SubstIDs;5000237;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;AcquiredID;5000238;ASCII;StatusVariable;;SubstrateID which was read for the substrate on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;AcquiredIDs;5000239;List;StatusVariable;;List of all SubstrateIDs which were read for the substrates on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;AcquiredProcessDurableIDs;5000240;List;StatusVariable;;List of all ProcessDurableIDs which were read for the ProcessDurables on the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;ProcessDurableIDs;5000241;List;StatusVariable;;List of all ProcessDurable identifiers relevant to the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;ProcessDurableLocState;5000242;U1;StatusVariable;;Process durable location state for the location.;not applicable
GeminiFB.EFEM.LP2.MaterialLocations.LP2.25;SubstIDs;5000243;List;StatusVariable;;List of all Substrate identifiers relevant to the location.;not applicable
